Название модели,Цена,Ссылка
"Timio F152G Ноутбук 15.6"", Intel Celeron N5095, RAM 16 ГБ, SSD 256 ГБ, Intel UHD Graphics 750, Windows Pro, светло-серый, Русская раскладка",28 382 ₽,https://www.ozon.ru/product/timio-f152g-noutbuk-15-6-intel-celeron-n5095-ram-16-gb-ssd-256-gb-intel-uhd-graphics-750-windows-pro-1643130896/?asb=fSyVZmg%252Bdk53apuVqTbkNlGBlA67ge%252BUYaM4E%252FHzQ6g%253D&asb2=0nmMBTdmg7Rnoa9KhMH_hy-PHu60rY-kqvlzHiU2aba-aHKqFngWdmDXdQQnIn63cl_bvh8buaX8x4MugtfaibqFL8fszUkHd_4rgz8hb4aYcxtKD6FCPY1_03nJ3ORkqtzKOq-qHYWy2_MRLhcDag&avtc=1&avte=4&avts=1724073062
"Timio J4105 Ноутбук 14"", Intel Celeron J4105, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics 600, Windows Pro, (8765569), светло-серый, Русская раскладка",22 741 ₽,https://www.ozon.ru/product/timio-j4105-noutbuk-14-intel-celeron-j4105-ram-8-gb-ssd-256-gb-intel-uhd-graphics-600-windows-1641837754/?asb=K%252FE0LBXNjnTUBZxTldu6RhilIr6SCN0AMaTTx9YOt8M%253D&asb2=QeuGm9II8OL3RPVqlQra4-TzrbfKhqmjT-K_Fnh74N9eAE6ufcwqxXrPvRMWwTim-w5FCL30eay27CMJoAALhcf9GVHPUzryVArdThNXpRMwClLHIVL6OCWpRNuA5HjcKJ9VcZcV4Th2I2tGkSEJzX_xv6x3l8SdpSdaWlW2rRc&avtc=1&avte=4&avts=1724073062
"DT Retail для работы и учебы черный RAM 16 / SSD M.2 256 gb / Русская клавиатура / Windows PRO Ноутбук 15"", Intel Celeron N5095, RAM 16 ГБ, SSD 256 ГБ, Intel UHD Graphics, Windows Pro, черный, Русская раскладка",28 513 ₽,https://www.ozon.ru/product/dt-retail-dlya-raboty-i-ucheby-chernyy-ram-16-ssd-m-2-256-gb-russkaya-klaviatura-windows-pro-noutbuk-1641634456/?asb=oaIRYGHIt4SfHKVF2lkZBJ%252BFhh4Ka%252BuzNGwCDFywD2U%253D&asb2=VZGe5fNltdADxzl2vyg_9M3AZViWmk1unUV6i6Rdh5hc3fV4lTeELZ7Txjpa0QCK0qaAvax_bNa5DN2TEsLp9w&avtc=1&avte=4&avts=1724073062
"Lenovo IdeaPad Slim 3 15ABR8 Ноутбук 15.6"", AMD Ryzen 5 7530U, RAM 8 ГБ, SSD 512 ГБ, AMD Radeon Graphics, Без системы, (82XM00CDRK), серебристый, Русская раскладка",38 339 ₽,https://www.ozon.ru/product/lenovo-ideapad-slim-3-15abr8-noutbuk-15-6-amd-ryzen-5-7530u-ram-8-gb-ssd-512-gb-amd-radeon-graphics-1647557651/?asb=HsGLPwwrhYEyrBwUVa3KmhTW4z1kvO%252B7NwxndIADFI0%253D&asb2=a-hL1pzHhaG9AGgSq6Topwo-njwgVEfkwg4MOGJXnXg8JX4QFzWCaoUSDl4dt101FtJjAqZJEIX0MPmvc1UW2g&avtc=1&avte=2&avts=1724073062
"Amyzavls ,1920*1080, SSD 512 ГБ, Ноутбук 15.6"", Intel Celeron 5805, RAM 16 ГБ, SSD, Windows Pro, серебристый, серый, Русская раскладка",27 345 ₽,https://www.ozon.ru/product/amyzavls-1920-1080-ssd-512-gb-noutbuk-15-6-intel-celeron-5805-ram-16-gb-ssd-windows-pro-1623420521/?advert=D9w4_I84LyRPiuXNYFseT3DTTUsT-PQitVlUiAKKwMjWrUl5hGJ0njSaBYFWDu-0Sz1ggtStW-dduBrjODtEIu0TZ77S9PlmP2NPSfh9SsBh1jyvGZnR59i7xmM1pamsVVqjd1M-xPtv4IDR-fDYdqSESyUNp409W9Z2tNQthMVxXRQqLuQYpU-tgOvC2isG_OBhoXWfkNIFTqNgaG3FwIoYl_QFVEn_CnliHDlM8gJJsuUDgYFrP4_9KyEn8kdCwTLrhTxPRoznSlL7Xws0siHS&avtc=1&avte=2&avts=1724073062
"DT Retail для работы и учебы серебрянный RAM 8 / SSD M.2 512 gb / Русская клавиатура / Windows PRO Ноутбук, Intel Celeron N5095, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics, Windows Pro, серебристый, Русская раскладка",26 192 ₽,https://www.ozon.ru/product/dt-retail-dlya-raboty-i-ucheby-serebryannyy-ram-8-ssd-m-2-512-gb-russkaya-klaviatura-windows-pro-1627859891/?asb=codrDZYnHUGif2Xr4KJUuZ3%252FYVT%252FlSeai%252FgNQ2%252FK6m4%253D&asb2=CJ8r40e9Z-sGYHPFYZ4WAwpysL6vNvBOI9J5IFFlexjcrG7pIR6d1rJVqEOpCnpSIzyqUKexzapTneQU7H4b3w&avtc=1&avte=4&avts=1724073062
"DT Retail для работы и учебы серебрянный RAM 8 / SSD M.2 512 gb / Русская клавиатура / Windows PRO Ноутбук, Intel Celeron N5095, RAM 8 ГБ, SSD 512 ГБ, Intel UHD Graphics, Windows Pro, серебристый, Русская раскладка",28 364 ₽,https://www.ozon.ru/product/dt-retail-dlya-raboty-i-ucheby-serebryannyy-ram-8-ssd-m-2-512-gb-russkaya-klaviatura-windows-pro-1620523484/?asb=jVW7F1SSt7iYpyUJ26HmzcTTrJbjAMAMXVCh%252B4%252BLWr0%253D&asb2=jOMl35JcEkUVOhD1qeYs2ckImIWRnWc40GBqkBS1E07a2baZRC2q6AoJ1EXAGhduhEIRgEwwrBNFFylekiK49A&avtc=1&avte=4&avts=1724073062
"AQUARIUS CMP NS483 Ноутбук 14"", Intel Core i5-8250U, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics, Без системы, (QRCN-NS483151618Q125E90NT2NNNN2), серый, Русская раскладка",27 743 ₽,https://www.ozon.ru/product/aquarius-cmp-ns483-noutbuk-14-intel-core-i5-8250u-ram-8-gb-ssd-256-gb-intel-uhd-graphics-bez-1604973839/?asb=L%252BD9d%252FkKoTGaM%252BQp6lKMuLqiCLIU7m76iA8g7yFKDTQ%253D&asb2=fsi4V7n4xOZ0GAk9jBYe1-s6JugYUwVwjbVLngS-EAK3r2oun7lG0quLUeCM23ggrsn6awFX9KIskC6gsKjnAQ&avtc=1&avte=4&avts=1724073062
"Ноутбук Ноутбук 14"", Intel Celeron N3450, RAM 8 ГБ, SSD, Intel HD Graphics 500, Windows Home, серебристый, Русская раскладка",18 019 ₽,https://www.ozon.ru/product/noutbuk-noutbuk-14-intel-celeron-n3450-ram-8-gb-ssd-intel-hd-graphics-500-windows-home-serebristyy-1609849167/?advert=kLvs-Lg7w8axFVVRQ8YM5Bon4S7VGO7-o7Z5RthxJew048_kLGBnKjbUVGaCUC76o6Dk6P7O9ca87ZFe7Kvb3tLINTQwKHJhvts2pE4WGfj28iL_6NOi-fkTgk1Mrz9Xro2NZ9bQBaCIhij9EcbUQ0BqTkeb9xGM0yiRWPpTYD7d3vUUhImVyHf4HX9jlrevMU3AIebtUau49ZinDqvgbJ0cxBMc8AAmurC8f4t9WAr6QZz_ZUx5BlSy92Fq0wtE1DydAh_IARhijYvwF8PC9cXq&avtc=1&avte=4&avts=1724073062
"DT Retail для работы и учебы серебрянный RAM 8 / SSD M.2 512 gb / Русская клавиатура / Windows PRO Ноутбук, Intel Celeron N5095, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics, Windows Pro, серебристый, Русская раскладка",25 119 ₽,https://www.ozon.ru/product/dt-retail-dlya-raboty-i-ucheby-serebryannyy-ram-8-ssd-m-2-512-gb-russkaya-klaviatura-windows-pro-1623461858/?asb=SKegvVpM%252BUn8EXXLs3djfmiAAGPMZID8UDD8v7G1rNg%253D&asb2=oO9o4QImfGK3I0R32i-EeKllgseMAd4zUf5JtJvrpyAsm-3IHtTXYC0dlXWuEQcVHWBLhV7gWD4xZWrBWVSUOQ&avtc=1&avte=4&avts=1724073062
